qid,test_id,source_file,type,question_text,dominant_topic,dominant_topic_probability,topic_entropy_bits,topic_distribution
31,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"These box-and-whisker plots summarize the percent of the workforce employed in agriculture, industry, and service jobs in twenty towns. Which statement is NOT true?",6,0.6912338771631648,1.7585397913973875,0:0.0437|1:0.0437|2:0.0437|3:0.0445|4:0.0445|5:0.0438|6:0.6912|7:0.0448
32,math_algebra1_2014,math-algebra1-2014.js,multiple-select,"Using the ordered pairs shown, create a relation containing three ordered pairs with a domain of {-1, 2, 4}.",4,0.6261434902526773,2.0031258057302668,0:0.0532|1:0.0532|2:0.0533|3:0.0532|4:0.6261|5:0.0537|6:0.0533|7:0.0540
33,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"This relation is an inverse variation. {(-1, 8), (4, -2), (-2, 4)} Which equation represents this relation?",7,0.6332068977149383,1.977895995501087,0:0.0523|1:0.0523|2:0.0524|3:0.0524|4:0.0524|5:0.0525|6:0.0525|7:0.6332
34,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which equation represents the pattern shown in the table?,7,0.46963527985772135,1.9127254842006514,0:0.0281|1:0.0281|2:0.0281|3:0.0281|4:0.3615|5:0.0282|6:0.0282|7:0.4696
35,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,The graph of the equation representing a direct variation passes through point A. Locate one additional point that is on the graph of this equation.,7,0.763175187893432,1.454564346151102,0:0.0337|1:0.0337|2:0.0337|3:0.0337|4:0.0340|5:0.0343|6:0.0338|7:0.7632
36,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Look at the data in this table. Which equation most closely represents the line of best fit for this data?,7,0.8243677311799606,1.1634903425877066,0:0.0251|1:0.0251|2:0.0251|3:0.0251|4:0.0251|5:0.0251|6:0.0251|7:0.8244
37,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What is the range of this relation?,7,0.5226718621026275,2.338538136078621,0:0.0679|1:0.0679|2:0.0689|3:0.0680|4:0.0681|5:0.0682|6:0.0683|7:0.5227
38,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Katie recorded the number of miles she drove for each of 9 days. She drove a different number of miles each day. This box-and-whisker plot summarizes her information. Katie drove 30 miles on each of two additional days. She redrew the box-and-whisker plot to include this data. Which statement must be true?,7,0.7510396091058804,1.508546108747888,0:0.0355|1:0.0355|2:0.0355|3:0.0355|4:0.0356|5:0.0356|6:0.0357|7:0.7510
39,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"Two relationships are described. Relationship S: Karen drove 160 miles in 4 hours, and then she drove 80 miles in 2 hours. Relationship T: Vernon cooked 6 hamburgers in 10 minutes, and then he cooked 9 hamburgers in 15 minutes. Which statement is true about these relationships?",7,0.6559609770603527,1.894469028411057,0:0.0490|1:0.0490|2:0.0491|3:0.0491|4:0.0493|5:0.0491|6:0.0494|7:0.6560
40,math_algebra1_2014,math-algebra1-2014.js,point-select,Identify the y-intercept of the relation shown.,4,0.6952809860722252,1.7423014967810673,0:0.0430|1:0.0430|2:0.0430|3:0.0430|4:0.6953|5:0.0462|6:0.0432|7:0.0435
41,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What is f(-8) for the function f? f ( x ) = 11 ( x - 24 ) 2,7,0.733718173182817,1.5836261102500886,0:0.0380|1:0.0380|2:0.0380|3:0.0380|4:0.0381|5:0.0381|6:0.0380|7:0.7337
42,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"The number of complaints a company received at the end of each of six weeks is shown in this table. Based on the line of best fit, how many complaints should the company expect at the end of week 8?",7,0.7262376038615613,1.615359091281288,0:0.0390|1:0.0390|2:0.0390|3:0.0391|4:0.0393|5:0.0392|6:0.0392|7:0.7262
43,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,The table shows the relationship between corresponding values of x and y. To determine the y-value —,7,0.673280947443506,1.8284193458422022,0:0.0457|1:0.0457|2:0.0510|3:0.0458|4:0.0459|5:0.0467|6:0.0459|7:0.6733
44,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which relation is a function?,7,0.6961144698569759,1.7391032945482578,0:0.0434|1:0.0434|2:0.0434|3:0.0434|4:0.0434|5:0.0434|6:0.0434|7:0.6961
45,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,The manager of a company recorded the number of hours his employees worked during each of two weeks. The following statistics were calculated. • Week 1: The mean was 35 hours with a standard deviation of 1.5 hours. • Week 2: The mean was 40 hours with a standard deviation of 2.0 hours. The manager concluded that there was more variation in the number of hours worked for Week 2 than for Week 1. The manager's conclusion was —,7,0.6008489877723088,2.091008974447951,0:0.0569|1:0.0569|2:0.0569|3:0.0570|4:0.0572|5:0.0572|6:0.0572|7:0.6008
46,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which graph appears to show a relation that is NOT a function?,7,0.7342994815536245,1.581142830510949,0:0.0379|1:0.0379|2:0.0379|3:0.0380|4:0.0380|5:0.0380|6:0.0380|7:0.7343
47,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"A scientist dropped an object from a height of 200 feet. She recorded the height of the object in 0.5-second intervals. Her data is shown. Based on a quadratic model, which best approximates the height at 3 seconds?",4,0.5128055456536601,1.9464812822151447,0:0.0309|1:0.0309|2:0.0309|3:0.0310|4:0.5128|5:0.0310|6:0.0309|7:0.3016
48,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Look at function g. g ( x ) = 9 x 2 - 16 Which set contains only the zeros of function g?,7,0.7563337697626545,1.4851416529937684,0:0.0348|1:0.0348|2:0.0348|3:0.0348|4:0.0348|5:0.0348|6:0.0348|7:0.7563
49,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Statistical information for a data set is given. • The mean is 18.1. • The z-score for 13.0 is -1.7. What is the standard deviation for this data set?,7,0.8155179900904791,1.2076898186251648,0:0.0263|1:0.0263|2:0.0263|3:0.0263|4:0.0264|5:0.0265|6:0.0263|7:0.8155
50,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,A representation of a function is shown. f ( x ) = - 4 x + 2 What are the x-intercept and the y-intercept of this function?,7,0.7641505951097834,1.45018178203311,0:0.0337|1:0.0337|2:0.0337|3:0.0337|4:0.0339|5:0.0337|6:0.0337|7:0.7642
1,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"Which expression represents four less than half a number, n?",7,0.5807659702086402,1.9732242466757104,0:0.0363|1:0.0363|2:0.0403|3:0.0364|4:0.0364|5:0.1971|6:0.0364|7:0.5808
2,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which of the following binomials is a factor of x 2 - x - 6 ?,6,0.6592607784471289,1.8817059555265438,0:0.0476|1:0.0476|2:0.0476|3:0.0481|4:0.0489|5:0.0477|6:0.6593|7:0.0534
3,math_algebra1_2015,math-algebra1-2015.js,multiple-select,Identify each expression that is in simplest radical form.,5,0.39062091493341944,2.5121494148610757,0:0.0510|1:0.0510|2:0.0513|3:0.0511|4:0.0522|5:0.3906|6:0.1759|7:0.1769
4,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which expression is equivalent to 1 6 ( 30 x - 24 y ) - 1 8 ( 32 x - 16 y ) ?,5,0.7278085800832661,1.6087183026777065,0:0.0386|1:0.0386|2:0.0395|3:0.0388|4:0.0389|5:0.7278|6:0.0388|7:0.0389
5,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which is equivalent to 48 3 in simplest form?,5,0.46811181164483484,2.3405620187409797,0:0.0527|1:0.0527|2:0.0528|3:0.0534|4:0.0541|5:0.4681|6:0.2117|7:0.0545
6,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,What is the value of 128 in simplest radical form?,2,0.3267400469080855,2.5467039814720636,0:0.0571|1:0.0571|2:0.3267|3:0.0581|4:0.0592|5:0.0877|6:0.2953|7:0.0588
7,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which polynomial is equivalent to this expression if n ≠ - 1 ? 3 + n - 2 n 2 1 + n,5,0.6708132848872883,1.8382243449918314,0:0.0467|1:0.0467|2:0.0467|3:0.0470|4:0.0472|5:0.6708|6:0.0477|7:0.0472
8,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which is a factor of 2 n 2 - 5 n - 42 ?,4,0.22937440580247825,2.8866319966475826,0:0.0927|1:0.0927|2:0.0929|3:0.0929|4:0.2294|5:0.0967|6:0.2013|7:0.1014
9,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which of the following is equivalent to a 12 b 2 a 3 b 6 ?,6,0.45366485803243295,2.0175017793354435,0:0.0326|1:0.0326|2:0.0326|3:0.0329|4:0.0331|5:0.3496|6:0.4537|7:0.0329
10,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,What is the value of this expression when n = - 15 ? - 2 | n + 6 |,5,0.3978931129421168,2.197127795390959,0:0.0406|1:0.0406|2:0.3548|3:0.0410|4:0.0416|5:0.3979|6:0.0410|7:0.0424
11,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which graph best represents the equation 4 x + 5 y = - 20 ?,7,0.8044908430472022,1.261718487330036,0:0.0279|1:0.0279|2:0.0279|3:0.0279|4:0.0279|5:0.0280|6:0.0280|7:0.8045
12,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,A formula to find the angle measures of an isosceles triangle is shown. 180 = 2 x + y Which equation can be used to find x ?,4,0.7735828849700261,1.407344159494213,0:0.0323|1:0.0323|2:0.0323|3:0.0323|4:0.7736|5:0.0323|6:0.0326|7:0.0324
13,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"Which equation represents the line that passes through the points ( - 4 , 4 ) and ( 8 , - 2 ) ?",7,0.7855591950248206,1.35189726434985,0:0.0306|1:0.0306|2:0.0306|3:0.0306|4:0.0307|5:0.0306|6:0.0307|7:0.7856
14,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"For which system of inequalities is ( - 3 , 1 ) a solution?",6,0.5667260620584753,2.1729590862088886,0:0.0531|1:0.0531|2:0.0531|3:0.0534|4:0.1137|5:0.0533|6:0.5667|7:0.0536
15,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,What is the solution to this system of equations? 2 x + 4 y = 22 7 x + y = 12,6,0.5132480990053676,2.283190823065484,0:0.0537|1:0.0537|2:0.0538|3:0.0539|4:0.1636|5:0.0539|6:0.5132|7:0.0541
16,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"What is 3,456 3 in simplest form?",6,0.3738782717454604,2.655668675214799,0:0.0730|1:0.0730|2:0.0731|3:0.0741|4:0.0756|5:0.1737|6:0.3739|7:0.0835
17,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,What value of x makes this equation true? 3 x - 20 = - 2 x,6,0.7485468020936057,1.519273784124295,0:0.0349|1:0.0349|2:0.0353|3:0.0355|4:0.0380|5:0.0352|6:0.7485|7:0.0378
18,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which equation best represents line m ?,7,0.820828690433357,1.1812582364454869,0:0.0256|1:0.0256|2:0.0256|3:0.0256|4:0.0256|5:0.0256|6:0.0256|7:0.8208
19,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Christopher incorrectly solved an inequality. Between which two consecutive steps did Christopher make a mistake? Step 1: - 4 ( x - 7 ) + 1 ≤ - 3 Step 2: - 4 ( x - 7 ) ≤ - 4 Step 3: - 4 x + 28 ≤ - 4 Step 4: - 4 x ≤ - 32 Step 5: x ≤ 8,7,0.5371628200338519,2.295348069632322,0:0.0657|1:0.0657|2:0.0657|3:0.0664|4:0.0664|5:0.0661|6:0.0668|7:0.5372
20,math_algebra1_2015,math-algebra1-2015.js,free-response,Solve for n : 3 n - 7 6 = 2 n + 5 3,0,0.125,3.0,0:0.1250|1:0.1250|2:0.1250|3:0.1250|4:0.1250|5:0.1250|6:0.1250|7:0.1250
21,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,What values of x are solutions of 3 x 2 + 11 x = 20 ?,7,0.45162583161821523,2.531132310708755,0:0.0754|1:0.0754|2:0.0902|3:0.0756|4:0.0760|5:0.0797|6:0.0761|7:0.4516
22,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,The graph of line l is shown. Which number is closest in value to the slope of line l ?,7,0.6196438084099022,1.80011069621496,0:0.0233|1:0.0233|2:0.0790|3:0.0234|4:0.1846|5:0.0234|6:0.0234|7:0.6196
23,math_algebra1_2015,math-algebra1-2015.js,free-response,"Based on the transitive property, complete this statement. If 2 ( y - 3 ) ≥ 3 x - 4 and 3 x - 4 ≥ 6 - y , then 2 ( y - 3 ) ≥ __?__",6,0.40166586544975924,2.4360856073521533,0:0.0562|1:0.0562|2:0.0562|3:0.0563|4:0.0567|5:0.0563|6:0.4017|7:0.2606
24,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,This system of linear equations is graphed as shown. What is the solution to this system of equations? 3 x + y = 2 x + 3 y = - 18,4,0.4092444965874334,2.321212100335718,0:0.0486|1:0.0486|2:0.0486|3:0.0486|4:0.4092|5:0.0487|6:0.2989|7:0.0487
25,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Renee is going bowling. • The cost per game is $2.50. • Renee will need to rent a pair of bowling shoes for $1.50. • She can spend up to $16.00 to bowl and rent a pair of shoes. What is the maximum number of games that Renee can bowl?,7,0.5301685179367911,2.31635536956337,0:0.0670|1:0.0670|2:0.0671|3:0.0671|4:0.0673|5:0.0672|6:0.0671|7:0.5302
26,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Malik can spend no more than $24 to buy pecans and cashews. He will pay $6 per pound for pecans and $8 per pound for cashews. Which graph best represents the number of pounds of pecans and the number of pounds of cashews Malik can buy?,7,0.7240016729964301,1.6247659989755467,0:0.0394|1:0.0394|2:0.0394|3:0.0394|4:0.0395|5:0.0395|6:0.0394|7:0.7240
27,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,What is the quotient of ( 15 x 2 − 8 x − 12 ) and ( 3 x + 2 ) ? Assume the denominator does not equal zero.,5,0.3589974320120699,2.6296920938279036,0:0.0700|1:0.0700|2:0.0701|3:0.0701|4:0.0705|5:0.3590|6:0.0733|7:0.2170
28,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which graph has exactly one x-intercept and one y-intercept?,7,0.609881191209446,2.059399290185785,0:0.0544|1:0.0544|2:0.0544|3:0.0553|4:0.0546|5:0.0625|6:0.0545|7:0.6099
29,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"Which equation best represents this data set? {(-4, -4.8), (-3, -8.2), (-2, -9.1), (-1, -8.1), (0, -4.7), (1, 0.3)}",7,0.8511935685774883,1.024597748778373,0:0.0212|1:0.0212|2:0.0213|3:0.0213|4:0.0213|5:0.0213|6:0.0213|7:0.8512
30,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,A relationship between x and y is shown in this table. Which equation represents this relationship?,7,0.5515606753709416,1.9285808771248771,0:0.0319|1:0.0319|2:0.0319|3:0.0319|4:0.2570|5:0.0319|6:0.0319|7:0.5516
31,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"Ms. Scott will pay $2,000 to have her house painted. The amount each painter earns, A, varies inversely for the number of painters, n, that will paint the house. Which equation best represents this situation?",7,0.7867575997251679,1.346281967777131,0:0.0304|1:0.0304|2:0.0305|3:0.0305|4:0.0305|5:0.0305|6:0.0305|7:0.7868
32,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,The following graph shows a relation. Which of the following best describes the range of this relation?,7,0.4999277382141556,1.9679703731272704,0:0.0315|1:0.0315|2:0.0315|3:0.0315|4:0.0316|5:0.0316|6:0.3108|7:0.4999
33,math_algebra1_2015,math-algebra1-2015.js,drag-drop,"Each of these data sets has a mean of 20. Set 1: {18, 19, 20, 21, 22} Set 2: {20, 20, 20, 20, 20} Set 3: {16, 18, 20, 21, 25} Order the sets from greatest standard deviation to least standard deviation.",7,0.7513999962672478,1.5069223598140835,0:0.0353|1:0.0353|2:0.0353|3:0.0353|4:0.0353|5:0.0368|6:0.0354|7:0.7514
34,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,A study was conducted to determine the number of cars that passed through two intersections each day for 20 days. The results are summarized in these box-and-whisker plots. Which statement is best supported by these data?,7,0.7855959527498184,1.3517250051755902,0:0.0306|1:0.0306|2:0.0306|3:0.0306|4:0.0306|5:0.0307|6:0.0307|7:0.7856
35,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which of these functions has exactly two different zeros?,4,0.5467466580846183,2.2661146558955005,0:0.0644|1:0.0644|2:0.0644|3:0.0650|4:0.5467|5:0.0647|6:0.0648|7:0.0656
36,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,In which table does y vary directly with x ?,7,0.596233120329279,2.1066282418142,0:0.0576|1:0.0576|2:0.0577|3:0.0577|4:0.0578|5:0.0577|6:0.0577|7:0.5962
37,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"Which equation could represent a graph with x-intercepts of (4, 0) and (-7, 0)?",7,0.7822977585768411,1.3671051318521172,0:0.0309|1:0.0309|2:0.0309|3:0.0312|4:0.0311|5:0.0317|6:0.0310|7:0.7823
38,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which number is a zero of the function h ? h ( x ) = x 2 + 3 x - 18,7,0.7500358277435554,1.49411181476406,0:0.0305|1:0.0305|2:0.0305|3:0.0305|4:0.0306|5:0.0667|6:0.0305|7:0.7500
39,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which of the following graphs appears to be a function?,7,0.6244024666921552,1.8127644767944173,0:0.0311|1:0.0311|2:0.0311|3:0.0311|4:0.0312|5:0.0311|6:0.1890|7:0.6244
40,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"If f(x) = (x - 3)² + 1, what is f(6)?",0,0.125,3.0,0:0.1250|1:0.1250|2:0.1250|3:0.1250|4:0.1250|5:0.1250|6:0.1250|7:0.1250
41,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"Which number is NOT an element in the domain of this relation? {(-2, 3), (0, 4), (1, 1), (6, 0)}",7,0.6717614673106749,1.8345540241705154,0:0.0466|1:0.0466|2:0.0485|3:0.0466|4:0.0466|5:0.0466|6:0.0467|7:0.6718
42,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"{(-5, 9), (2, 31), (9, 143), (11, 151), (0, 42), (5, 97)} Using the equation line of best fit, which number is the best prediction of the output when the input is 13?",7,0.7963249375664769,1.3010057555168157,0:0.0291|1:0.0291|2:0.0291|3:0.0291|4:0.0291|5:0.0291|6:0.0291|7:0.7963
