qid,test_id,source_file,type,question_text,word_count,dominant_topic,dominant_topic_probability,topic_entropy_bits,topic_distribution
1,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"In paragraph 1, the words ""rumbled,"" ""buzzed,"" and ""exploded"" evoke images of-",7,1,0.8904097,0.8063376545906067,0:0.0157|1:0.8904|2:0.0156|3:0.0157|4:0.0157|5:0.0157|6:0.0156|7:0.0156
13,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,The purpose of the first paragraph is to -,3,5,0.78113735,1.3725104331970215,0:0.0313|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.7811|6:0.0313|7:0.0313
14,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Which question is answered in paragraph 3?,3,5,0.78116137,1.3723989725112915,0:0.0313|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.7812|6:0.0313|7:0.0313
15,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Paragraph 4 suggests that Osamu Tezuka -,4,2,0.82481456,1.161238193511963,0:0.0250|1:0.0250|2:0.8248|3:0.0250|4:0.0251|5:0.0250|6:0.0250|7:0.0250
16,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"Read this sentence from paragraph 5. While Tezuka's manga may stand on the same library shelves as American superhero comic books, Tezuka's manga are to most traditional American comic books what Shakespeare's plays are to soap operas on American television: a similar art form, but with much richer content. The purpose of the analogy in this sentence is to-",34,4,0.9749807,0.23900079727172852,0:0.0036|1:0.0036|2:0.0036|3:0.0036|4:0.9750|5:0.0036|6:0.0036|7:0.0036
17,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,The author mainly develops the topic of this selection by -,5,5,0.85406876,1.0092451572418213,0:0.0208|1:0.0208|2:0.0208|3:0.0209|4:0.0208|5:0.8541|6:0.0208|7:0.0208
18,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Which information from the selection supports the thesis that manga has become increasingly popular over time?,9,5,0.9124136,0.6742476224899292,0:0.0125|1:0.0125|2:0.0125|3:0.0125|4:0.0125|5:0.9124|6:0.0125|7:0.0125
19,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"In paragraph 2, the author uses dialogue to -",4,5,0.82491076,1.1607532501220703,0:0.0250|1:0.0250|2:0.0250|3:0.0250|4:0.0250|5:0.8249|6:0.0250|7:0.0250
20,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"Read this sentence from paragraph 3. I watched her play with the top button of her coat and thought about the man I was about to meet, my father, whose face I knew only from a small black-and-white photograph. This sentence conveys Su-Jen's feelings of -",22,2,0.9619361,0.3402026295661926,0:0.0054|1:0.0054|2:0.9619|3:0.0054|4:0.0054|5:0.0054|6:0.0054|7:0.0054
21,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"In paragraph 3, pensive means -",3,5,0.78088415,1.373685598373413,0:0.0314|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.7809|6:0.0313|7:0.0313
22,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"Read this sentence from paragraph 5. He stopped as he drew near, huffing out of breath. This sentence contains an example of--",11,5,0.92698526,0.5820527076721191,0:0.0104|1:0.0104|2:0.0104|3:0.0104|4:0.0104|5:0.9270|6:0.0104|7:0.0104
23,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,The character of Su-Jen is mainly revealed through her--,4,3,0.8249189,1.160711646080017,0:0.0250|1:0.0250|2:0.0250|3:0.8249|4:0.0250|5:0.0250|6:0.0250|7:0.0250
24,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"Based on the selection, Su-Jen's father may best be described as--",7,0,0.89050055,0.8058083057403564,0:0.8905|1:0.0156|2:0.0156|3:0.0156|4:0.0156|5:0.0156|6:0.0157|7:0.0156
25,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Later chapters of this selection would most likely describe--,6,0,0.8748794,0.8951607942581177,0:0.8749|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
26,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"Which word carries a negative connotation in this sentence? Patrick's mother is assuming that when her son refrains from fraternizing so much, he will become more accomplished.",14,0,0.9415998,0.4850115478038788,0:0.9416|1:0.0083|2:0.0083|3:0.0083|4:0.0083|5:0.0083|6:0.0083|7:0.0083
27,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"Read this sentence. Ryan was meticulous with his writing assignments, so the papers he turned in for English class received the highest grades for grammar because they never contained mistakes. As used in this sentence, the word meticulous means--",22,7,0.96194017,0.34017214179039,0:0.0054|1:0.0054|2:0.0054|3:0.0054|4:0.0054|5:0.0054|6:0.0054|7:0.9619
28,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Which fact from a magazine article would be best to include in a report about the literary career of William Faulkner?,11,0,0.92699945,0.5819605588912964,0:0.9270|1:0.0104|2:0.0104|3:0.0104|4:0.0104|5:0.0104|6:0.0104|7:0.0104
29,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Read these sentences. The days following tryouts for the wrestling team were a roller coaster ride for Ian. He had done his best at the tryouts and hoped the coaches would want him to wrestle on the varsity team. He worried over it for hours. The purpose of the figurative language in these sentences is to suggest that Ian--,29,2,0.9708203,0.27217912673950195,0:0.0042|1:0.0042|2:0.9708|3:0.0042|4:0.0042|5:0.0042|6:0.0042|7:0.0042
30,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,The information in paragraph 2 supports the idea that Antarctic fish -,6,0,0.8748622,0.8952572345733643,0:0.8749|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
31,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"Read these sentences from paragraph 3. The threadfin pithead, for instance, lives at depths of around 2,000 feet in the cold dark of the Antarctic seas. It is difficult to imagine a more adverse environment. These sentences suggest that the author--",21,7,0.9602013,0.3530976176261902,0:0.0057|1:0.0057|2:0.0057|3:0.0057|4:0.0057|5:0.0057|6:0.0057|7:0.9602
32,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Read this sentence from paragraph 3. The slender fish spends its days swimming through the honeycombed channels of the icepack hunting krillsmall crustaceans-for its sustenance. The word sustenance means--,18,3,0.9539239,0.3988407850265503,0:0.0066|1:0.0066|2:0.0066|3:0.9539|4:0.0066|5:0.0066|6:0.0066|7:0.0066
33,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Which statement best expresses the main idea of paragraph 3?,6,2,0.8749088,0.8949958086013794,0:0.0179|1:0.0179|2:0.8749|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
34,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"In paragraph 6, the word salutary means--",4,0,0.5351256,1.8063769340515137,0:0.5351|1:0.0250|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.3148
35,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,The organizational structure of paragraph 6 is best described as -,5,7,0.8540116,1.00955069065094,0:0.0209|1:0.0208|2:0.0209|3:0.0208|4:0.0208|5:0.0209|6:0.0209|7:0.8540
36,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Which section would most likely describe future uses of the protein found in fish that live in below-freezing water?,12,1,0.9326501,0.5450310707092285,0:0.0096|1:0.9327|2:0.0096|3:0.0096|4:0.0096|5:0.0096|6:0.0096|7:0.0096
37,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,How can the reader best tell that this is an expository selection?,5,1,0.85396296,1.0098111629486084,0:0.0209|1:0.8540|2:0.0209|3:0.0208|4:0.0208|5:0.0209|6:0.0209|7:0.0209
38,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,What is the author's most likely purpose for writing this selection?,5,5,0.8540496,1.0093473196029663,0:0.0208|1:0.0209|2:0.0208|3:0.0208|4:0.0208|5:0.8540|6:0.0208|7:0.0209
39,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"That advice helped keep my situation in perspective; I was polishing my craft, getting experience, and establishing myself as a talented writer. In this sentence from paragraph 1, the word polishing suggests--",17,4,0.9513373,0.4173024296760559,0:0.0070|1:0.0069|2:0.0070|3:0.0070|4:0.9513|5:0.0069|6:0.0069|7:0.0070
40,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Which set of statements provides the best summary of paragraphs 2-5?,6,0,0.8749049,0.8950179219245911,0:0.8749|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
41,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"Read this sentence from paragraph 5. The ticket was inscribed with the logo for KidsPop, the symphony orchestra's overt attempt to entice children away from video games and into the world of classical music. What does the word overt mean?",22,3,0.9619389,0.3401814103126526,0:0.0054|1:0.0054|2:0.0054|3:0.9619|4:0.0054|5:0.0054|6:0.0054|7:0.0054
42,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,A quick scan of Saint-Saën's biography provided little assistance--the information was nearly incomprehensible to a beginner such as myself. The word incomprehensible from paragraph 6 contains a root word that means to--,16,3,0.948497,0.4373350143432617,0:0.0074|1:0.0074|2:0.0074|3:0.9485|4:0.0074|5:0.0074|6:0.0074|7:0.0074
43,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"Read this sentence from paragraph 10. Now came a contrast in tempo--the lumbering sluggishness of giant tortoises, painfully trudging along, step by laborious step. The author uses sensory language in this sentence in order to--",22,5,0.96193385,0.34021925926208496,0:0.0054|1:0.0054|2:0.0054|3:0.0054|4:0.0054|5:0.9619|6:0.0054|7:0.0054
44,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,The fanfare and flourishes of the finale announced a farewell to our carnival. Which literary device does Jake use in this sentence from paragraph 13?,12,3,0.9326593,0.5449692606925964,0:0.0096|1:0.0096|2:0.0096|3:0.9327|4:0.0096|5:0.0096|6:0.0096|7:0.0096
45,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Jake's dismay over having to review a KidsPop concert affects the selection by--,7,6,0.890597,0.8052457571029663,0:0.0156|1:0.0156|2:0.0156|3:0.0156|4:0.0156|5:0.0156|6:0.8906|7:0.0156
46,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Jake uses extensive animal imagery in the selection to suggest the music's--,8,5,0.902708,0.7334849834442139,0:0.0139|1:0.0139|2:0.0139|3:0.0139|4:0.0139|5:0.9027|6:0.0139|7:0.0139
47,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,Which detail from the selection supports the concept that Jake is eager to do a good job reviewing the concert?,10,6,0.9204002,0.6242324113845825,0:0.0114|1:0.0114|2:0.0114|3:0.0114|4:0.0114|5:0.0114|6:0.9204|7:0.0114
48,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,The selection is told from Jakes point of view in order to emphasize his--,7,6,0.8905397,0.8055799007415771,0:0.0156|1:0.0156|2:0.0156|3:0.0156|4:0.0156|5:0.0157|6:0.8905|7:0.0156
49,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,The author includes the illustration at the top of the selection to--,5,1,0.85390913,1.0100994110107422,0:0.0209|1:0.8539|2:0.0209|3:0.0209|4:0.0208|5:0.0209|6:0.0209|7:0.0209
50,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,The purpose of paragraph 2 is to--,2,5,0.7081392,1.6904699802398682,0:0.0417|1:0.0417|2:0.0417|3:0.0417|4:0.0417|5:0.7081|6:0.0417|7:0.0417
51,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,The author uses the source in paragraph 5 to--,4,5,0.56422156,1.7809603214263916,0:0.0250|1:0.0250|2:0.0250|3:0.0250|4:0.0250|5:0.5642|6:0.0250|7:0.2857
52,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,The reader may conclude that computerized contact lenses will be most useful to people who--,8,6,0.90258944,0.7341985702514648,0:0.0139|1:0.0139|2:0.0139|3:0.0139|4:0.0139|5:0.0139|6:0.9026|7:0.0139
53,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"Paragraph 8 suggests that in the future, computers will be embedded into contact lenses that--",7,0,0.89050955,0.8057551980018616,0:0.8905|1:0.0157|2:0.0156|3:0.0156|4:0.0156|5:0.0156|6:0.0156|7:0.0156
54,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,The purpose of this selection is to--,2,5,0.70817506,1.6903233528137207,0:0.0417|1:0.0417|2:0.0417|3:0.0417|4:0.0417|5:0.7082|6:0.0417|7:0.0417
1,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,"In paragraph 1, the expression ""rhythm of their lives"" suggests that people's lives were filled with--",8,0,0.9027286,0.7333611845970154,0:0.9027|1:0.0139|2:0.0139|3:0.0139|4:0.0139|5:0.0139|6:0.0139|7:0.0139
2,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,"Based on paragraph 4, the reader can determine that the sundial was the first timekeeping device to--",8,5,0.90272987,0.7333532571792603,0:0.0139|1:0.0139|2:0.0139|3:0.0139|4:0.0139|5:0.9027|6:0.0139|7:0.0139
3,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,The main idea of paragraph 5 focuses on the concept that water clocks were--,7,3,0.8905664,0.8054237365722656,0:0.0156|1:0.0156|2:0.0156|3:0.8906|4:0.0156|5:0.0156|6:0.0156|7:0.0156
4,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,This selection supports all these statements about timekeeping EXCEPT--,5,0,0.8540605,1.009289026260376,0:0.8541|1:0.0209|2:0.0208|3:0.0208|4:0.0208|5:0.0209|6:0.0209|7:0.0208
5,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,"Based on information in the selection, which statement represents the author's opinion?",7,6,0.8904686,0.8059945106506348,0:0.0156|1:0.0157|2:0.0157|3:0.0156|4:0.0156|5:0.0157|6:0.8905|7:0.0156
6,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,Which tone is conveyed in paragraph 1?,3,4,0.7809253,1.3734948635101318,0:0.0314|1:0.0313|2:0.0313|3:0.0313|4:0.7809|5:0.0313|6:0.0313|7:0.0313
7,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,"Read this sentence from paragraph 3. That facade had evaporated when Jack enlisted, and, Ruth admitted, she liked herself more now than she had in the past. The author's word choice in this sentence highlights the idea that--",17,7,0.9513487,0.4172210097312927,0:0.0070|1:0.0069|2:0.0070|3:0.0070|4:0.0069|5:0.0069|6:0.0069|7:0.9513
8,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,Why does the author include the flashback in paragraph 9?,4,5,0.57022643,1.775007963180542,0:0.0250|1:0.0250|2:0.0250|3:0.0250|4:0.2796|5:0.5702|6:0.0250|7:0.0250
9,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,The details in paragraph 13 contribute to the selection by--,4,6,0.5109714,1.8228479623794556,0:0.0250|1:0.0250|2:0.0250|3:0.3389|4:0.0250|5:0.0250|6:0.5110|7:0.0250
10,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,"In this selection, Vera's character is best described as a--",5,6,0.85406256,1.0092778205871582,0:0.0209|1:0.0208|2:0.0209|3:0.0208|4:0.0208|5:0.0208|6:0.8541|7:0.0209
11,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,The author organizes information in paragraph 1 using explanation most likely to--,7,5,0.8905645,0.8054352402687073,0:0.0156|1:0.0156|2:0.0156|3:0.0156|4:0.0156|5:0.8906|6:0.0156|7:0.0156
12,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,The reader can tell this article is expository because it--,4,1,0.8249362,1.1606247425079346,0:0.0250|1:0.8249|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.0250
13,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,How do scientists know that the canals were dry at times?,5,2,0.8541217,1.00896155834198,0:0.0208|1:0.0208|2:0.8541|3:0.0208|4:0.0209|5:0.0208|6:0.0208|7:0.0208
14,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,"Read this sentence from paragraph 5. There the salt hay, sawdust, and straw effaced the airborne tang of leather and glue from the nearby shoe factory and muted the call of the ragman. In this sentence, the word effaced means--",22,6,0.9618875,0.3405653238296509,0:0.0055|1:0.0054|2:0.0054|3:0.0055|4:0.0054|5:0.0054|6:0.9619|7:0.0054
15,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,"Read this sentence from paragraph 7. Then in fifth grade, Lydia saw a city map and realized her entire world was the smallest finger of Boston's broad hand. The figurative language in the sentence impacts readers by helping them--",23,7,0.9635261,0.32827967405319214,0:0.0052|1:0.0052|2:0.0052|3:0.0052|4:0.0052|5:0.0052|6:0.0052|7:0.9635
16,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,"Based on this story, the reader may best understand that Lydia--",7,2,0.89023256,0.8073700666427612,0:0.0157|1:0.0157|2:0.8902|3:0.0156|4:0.0156|5:0.0157|6:0.0157|7:0.0157
17,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,"The author's use of a simile in paragraph 18 of ""Stone Age Skating Experience"" suggests that Greta--",10,5,0.9203609,0.6244810819625854,0:0.0114|1:0.0114|2:0.0114|3:0.0114|4:0.0114|5:0.9204|6:0.0114|7:0.0114
18,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,"Which sentence from ""History on Ice"" is least supported by details and would benefit from clarification?",9,2,0.9124238,0.6741847991943359,0:0.0125|1:0.0125|2:0.9124|3:0.0125|4:0.0125|5:0.0125|6:0.0125|7:0.0125
19,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,Both selections express the idea that--,3,0,0.7811769,1.372327208518982,0:0.7812|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.0313
20,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,The imagery in lines 7-11 of the poem helps the reader--,5,5,0.8540195,1.0095081329345703,0:0.0208|1:0.0208|2:0.0209|3:0.0208|4:0.0208|5:0.8540|6:0.0208|7:0.0209
21,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,"In line 21, the speaker uses the word ""lush"" when describing the patch of grass to--",8,3,0.9026347,0.73392653465271,0:0.0139|1:0.0139|2:0.0139|3:0.9026|4:0.0139|5:0.0139|6:0.0139|7:0.0140
22,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,"In lines 29-33 of the poem, the poet's use of the rhetorical question suggests that the speaker--",8,7,0.61927646,1.4629459381103516,0:0.0139|1:0.0139|2:0.2973|3:0.0139|4:0.0139|5:0.0139|6:0.0139|7:0.6193
23,reading_endofcourse_practice_2024,reading-endofcourse-practice-2024.js,multiple-choice,The purpose of the imagery in the poem is most likely to —,4,5,0.8248636,1.1609907150268555,0:0.0250|1:0.0250|2:0.0250|3:0.0250|4:0.0250|5:0.8249|6:0.0250|7:0.0251
1,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,Another good title for this story would be--,5,6,0.8540498,1.0093460083007812,0:0.0209|1:0.0209|2:0.0209|3:0.0208|4:0.0208|5:0.0208|6:0.8540|7:0.0208
2,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,Danielle keeps the cupcakes a secret by--,4,2,0.82495886,1.1605108976364136,0:0.0250|1:0.0250|2:0.8250|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.0250
3,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,Complete this flow chart with the most appropriate answer for the empty box.,7,1,0.8906016,0.8052191138267517,0:0.0156|1:0.8906|2:0.0156|3:0.0156|4:0.0156|5:0.0156|6:0.0156|7:0.0156
4,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,Danielle is pleased with the surprise most likely because she--,4,2,0.82481575,1.161232590675354,0:0.0250|1:0.0250|2:0.8248|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.0250
5,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,What will Martin and Madison most likely do next?,4,0,0.82490516,1.160780906677246,0:0.8249|1:0.0250|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.0250
6,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,Which of these do the characters have in common?,2,5,0.7082662,1.689950942993164,0:0.0417|1:0.0417|2:0.0417|3:0.0417|4:0.0417|5:0.7083|6:0.0417|7:0.0417
7,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"What is the root word in ""discovered""?",3,0,0.78112495,1.3725675344467163,0:0.7811|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.0313
8,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,Some people eat seaweed all by itself because they most likely--,4,5,0.82485205,1.1610490083694458,0:0.0251|1:0.0250|2:0.0250|3:0.0250|4:0.0250|5:0.8249|6:0.0250|7:0.0250
9,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"Based on the article, seaweed makes ice cream and yogurt--",7,0,0.8905438,0.805555522441864,0:0.8905|1:0.0156|2:0.0156|3:0.0156|4:0.0156|5:0.0156|6:0.0156|7:0.0156
10,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,Which question is answered in the article?,3,5,0.7811308,1.3725409507751465,0:0.0313|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.7811|6:0.0313|7:0.0313
11,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,The author wrote this article most likely to--,4,0,0.82484907,1.1610640287399292,0:0.8248|1:0.0250|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.0250
12,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"In an Internet search about oceans, which website would most likely have information about where red seaweed grows?",10,5,0.9203907,0.6242921948432922,0:0.0114|1:0.0114|2:0.0114|3:0.0114|4:0.0114|5:0.9204|6:0.0114|7:0.0114
13,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"What makes the secret message appear in ""Lemony Letter""?",6,3,0.8749466,0.8947840332984924,0:0.0179|1:0.0179|2:0.0179|3:0.8749|4:0.0179|5:0.0179|6:0.0179|7:0.0179
14,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"In ""Mirror Message"" when the steam in the bathroom is gone, the message will most likely--",7,3,0.8905841,0.8053206205368042,0:0.0156|1:0.0156|2:0.0156|3:0.8906|4:0.0156|5:0.0156|6:0.0156|7:0.0156
15,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"In step 3 of ""Mirror Message,"" what does the word invisible mean?",6,0,0.45569888,1.6611391305923462,0:0.4557|1:0.0179|2:0.0179|3:0.4371|4:0.0179|5:0.0179|6:0.0179|7:0.0179
16,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"""Lemony Letter"" and ""Mirror Message"" are alike because both--",5,3,0.68789923,1.5219157934188843,0:0.0208|1:0.0208|2:0.0208|3:0.6879|4:0.0208|5:0.0208|6:0.1871|7:0.0208
17,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"In ""Crazy Crayon,"" it is hard to see the message before painting over it because the message--",7,3,0.8906169,0.8051296472549438,0:0.0156|1:0.0156|2:0.0156|3:0.8906|4:0.0156|5:0.0156|6:0.0156|7:0.0156
18,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,One reason to read the flier is to--,4,3,0.43627766,1.8479759693145752,0:0.0250|1:0.0250|2:0.4135|3:0.4363|4:0.0250|5:0.0250|6:0.0251|7:0.0250
