qid,test_id,source_file,type,question_text,word_count,dominant_topic,dominant_topic_probability,topic_entropy_bits,topic_distribution
18,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which graph best models y ≤ 2 7 x - 2 ?,3,1,0.78097934,1.3732435703277588,0:0.0313|1:0.7810|2:0.0313|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.0313
19,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which inequality represents all the solutions of 9 ( 4 x - 8 ) 4 ( 6 x + 9 ) ?,3,6,0.7810627,1.3728567361831665,0:0.0313|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.0313|6:0.7811|7:0.0313
20,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"A total of 243 adults and children are at a movie theater. There are 109 more adults than children in the theater. If a represents the number of adults and b represents the number of children, which system of equations could be used to find the number of adults and the number of children in the theater?",24,1,0.9649732,0.3173387050628662,0:0.0050|1:0.9650|2:0.0050|3:0.0050|4:0.0050|5:0.0050|6:0.0050|7:0.0050
21,math_algebra1_2014,math-algebra1-2014.js,multiple-select,"A system of inequalities is shown. y > 1 2 x + 1 y + 3 x ≤ 6 From the given points, select each point that is a solution to this system of inequalities.",10,3,0.920343,0.6245952844619751,0:0.0114|1:0.0114|2:0.0114|3:0.9203|4:0.0114|5:0.0114|6:0.0114|7:0.0114
22,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,The graph of line n is shown. Which number is closest in value to the slope of line n?,8,5,0.9026467,0.7338544130325317,0:0.0139|1:0.0139|2:0.0139|3:0.0139|4:0.0139|5:0.9026|6:0.0139|7:0.0139
23,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"The formula shown can be used to find A, the amount of money Raul has in his savings account. A = P + P r t Raul wants to find r, the rate of interest his money earns. Which equation is correctly solved for r?",19,1,0.9562175,0.3822866678237915,0:0.0063|1:0.9562|2:0.0063|3:0.0063|4:0.0063|5:0.0063|6:0.0063|7:0.0063
24,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What are the real roots of x 2 - 7 x + 10 = 0 ?,2,2,0.7081592,1.6903877258300781,0:0.0417|1:0.0417|2:0.7082|3:0.0417|4:0.0417|5:0.0417|6:0.0418|7:0.0417
25,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,A data set with an even number of data points is ordered from least to greatest. The middle two data points are represented by x₁ and x₂. This formula can be used to find the median of the data set. m = x 1 + x 2 2 Which shows this formula solved for x₁?,23,0,0.9635043,0.3284439444541931,0:0.9635|1:0.0052|2:0.0052|3:0.0052|4:0.0052|5:0.0052|6:0.0052|7:0.0052
26,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"Which equation represents the horizontal line passing through (7, 5)?",5,2,0.8538617,1.0103538036346436,0:0.0209|1:0.0209|2:0.8539|3:0.0209|4:0.0209|5:0.0209|6:0.0209|7:0.0209
27,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,The graph of y = x 2 - 2 x - 8 is shown. What are the solutions to x 2 - 2 x - 8 = 0 ?,3,1,0.78108865,1.3727363348007202,0:0.0313|1:0.7811|2:0.0313|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.0313
28,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What value of p will make this equation true? 6 p + 4 6 = 4 p - 8 3,4,6,0.4345577,1.848202109336853,0:0.0250|1:0.0251|2:0.4152|3:0.0250|4:0.0250|5:0.0250|6:0.4346|7:0.0250
29,math_algebra1_2014,math-algebra1-2014.js,free-response,What is the slope of the line represented by this equation? 3 x + 5 y = - 7,4,4,0.82477045,1.1614607572555542,0:0.0250|1:0.0251|2:0.0250|3:0.0250|4:0.8248|5:0.0250|6:0.0250|7:0.0250
30,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"The length, l, of a rectangle is 3 times its width. The perimeter of the rectangle is greater than 48 centimeters. Which inequality expresses all the possible lengths, in centimeters, of the rectangle?",14,5,0.9416309,0.48479920625686646,0:0.0083|1:0.0083|2:0.0083|3:0.0083|4:0.0083|5:0.9416|6:0.0083|7:0.0083
31,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"These box-and-whisker plots summarize the percent of the workforce employed in agriculture, industry, and service jobs in twenty towns. Which statement is NOT true?",14,6,0.94163513,0.4847702980041504,0:0.0083|1:0.0083|2:0.0084|3:0.0083|4:0.0083|5:0.0083|6:0.9416|7:0.0083
32,math_algebra1_2014,math-algebra1-2014.js,multiple-select,"Using the ordered pairs shown, create a relation containing three ordered pairs with a domain of {-1, 2, 4}.",11,7,0.9270023,0.5819427967071533,0:0.0104|1:0.0104|2:0.0104|3:0.0104|4:0.0104|5:0.0104|6:0.0104|7:0.9270
33,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"This relation is an inverse variation. {(-1, 8), (4, -2), (-2, 4)} Which equation represents this relation?",6,1,0.66974545,1.4926085472106934,0:0.0179|1:0.6697|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.2231|7:0.0179
34,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which equation represents the pattern shown in the table?,5,1,0.8540652,1.0092637538909912,0:0.0208|1:0.8541|2:0.0209|3:0.0208|4:0.0208|5:0.0208|6:0.0208|7:0.0208
35,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,The graph of the equation representing a direct variation passes through point A. Locate one additional point that is on the graph of this equation.,13,1,0.75643677,1.1247014999389648,0:0.1900|1:0.7564|2:0.0089|3:0.0089|4:0.0089|5:0.0089|6:0.0089|7:0.0089
36,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Look at the data in this table. Which equation most closely represents the line of best fit for this data?,10,1,0.549867,1.4457228183746338,0:0.0114|1:0.5499|2:0.0114|3:0.0114|4:0.0114|5:0.0114|6:0.0114|7:0.3819
37,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What is the range of this relation?,2,6,0.70827353,1.6899207830429077,0:0.0417|1:0.0417|2:0.0417|3:0.0417|4:0.0417|5:0.0417|6:0.7083|7:0.0417
38,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Katie recorded the number of miles she drove for each of 9 days. She drove a different number of miles each day. This box-and-whisker plot summarizes her information. Katie drove 30 miles on each of two additional days. She redrew the box-and-whisker plot to include this data. Which statement must be true?,29,2,0.9707829,0.2724737524986267,0:0.0042|1:0.0042|2:0.9708|3:0.0042|4:0.0042|5:0.0042|6:0.0042|7:0.0042
39,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"Two relationships are described. Relationship S: Karen drove 160 miles in 4 hours, and then she drove 80 miles in 2 hours. Relationship T: Vernon cooked 6 hamburgers in 10 minutes, and then he cooked 9 hamburgers in 15 minutes. Which statement is true about these relationships?",22,0,0.96191657,0.3403482437133789,0:0.9619|1:0.0054|2:0.0054|3:0.0054|4:0.0054|5:0.0054|6:0.0054|7:0.0054
40,math_algebra1_2014,math-algebra1-2014.js,point-select,Identify the y-intercept of the relation shown.,4,6,0.82481855,1.1612181663513184,0:0.0250|1:0.0250|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.8248|7:0.0250
41,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,What is f(-8) for the function f? f ( x ) = 11 ( x - 24 ) 2,1,7,0.5621973,2.2178761959075928,0:0.0625|1:0.0626|2:0.0625|3:0.0626|4:0.0625|5:0.0626|6:0.0625|7:0.5622
42,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"The number of complaints a company received at the end of each of six weeks is shown in this table. Based on the line of best fit, how many complaints should the company expect at the end of week 8?",19,4,0.95616716,0.38265228271484375,0:0.0063|1:0.0063|2:0.0063|3:0.0063|4:0.9562|5:0.0063|6:0.0063|7:0.0063
43,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,The table shows the relationship between corresponding values of x and y. To determine the y-value —,7,3,0.89048433,0.8059027194976807,0:0.0156|1:0.0157|2:0.0156|3:0.8905|4:0.0156|5:0.0156|6:0.0156|7:0.0156
44,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which relation is a function?,2,7,0.70800614,1.6910128593444824,0:0.0417|1:0.0417|2:0.0417|3:0.0417|4:0.0417|5:0.0417|6:0.0418|7:0.7080
45,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,The manager of a company recorded the number of hours his employees worked during each of two weeks. The following statistics were calculated. • Week 1: The mean was 35 hours with a standard deviation of 1.5 hours. • Week 2: The mean was 40 hours with a standard deviation of 2.0 hours. The manager concluded that there was more variation in the number of hours worked for Week 2 than for Week 1. The manager's conclusion was —,34,3,0.84586453,0.765212893486023,0:0.1327|1:0.0036|2:0.0036|3:0.8459|4:0.0036|5:0.0036|6:0.0036|7:0.0036
46,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Which graph appears to show a relation that is NOT a function?,5,3,0.8539133,1.0100772380828857,0:0.0208|1:0.0209|2:0.0208|3:0.8539|4:0.0209|5:0.0209|6:0.0209|7:0.0209
47,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,"A scientist dropped an object from a height of 200 feet. She recorded the height of the object in 0.5-second intervals. Her data is shown. Based on a quadratic model, which best approximates the height at 3 seconds?",19,4,0.9562046,0.3823806047439575,0:0.0063|1:0.0063|2:0.0063|3:0.0063|4:0.9562|5:0.0063|6:0.0063|7:0.0063
48,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Look at function g. g ( x ) = 9 x 2 - 16 Which set contains only the zeros of function g?,6,7,0.8749118,0.8949791193008423,0:0.0179|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.8749
49,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,Statistical information for a data set is given. • The mean is 18.1. • The z-score for 13.0 is -1.7. What is the standard deviation for this data set?,11,0,0.9270243,0.5818004608154297,0:0.9270|1:0.0104|2:0.0104|3:0.0104|4:0.0104|5:0.0104|6:0.0104|7:0.0104
50,math_algebra1_2014,math-algebra1-2014.js,multiple-choice,A representation of a function is shown. f ( x ) = - 4 x + 2 What are the x-intercept and the y-intercept of this function?,6,1,0.8748922,0.8950889110565186,0:0.0179|1:0.8749|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
1,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"Which expression represents four less than half a number, n?",6,3,0.8748625,0.8952555656433105,0:0.0179|1:0.0179|2:0.0179|3:0.8749|4:0.0179|5:0.0179|6:0.0179|7:0.0179
2,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which of the following binomials is a factor of x 2 - x - 6 ?,3,0,0.78090113,1.3736064434051514,0:0.7809|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.0314|6:0.0313|7:0.0313
3,math_algebra1_2015,math-algebra1-2015.js,multiple-select,Identify each expression that is in simplest radical form.,5,2,0.854101,1.0090723037719727,0:0.0208|1:0.0208|2:0.8541|3:0.0208|4:0.0208|5:0.0209|6:0.0208|7:0.0208
4,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which expression is equivalent to 1 6 ( 30 x - 24 y ) - 1 8 ( 32 x - 16 y ) ?,2,2,0.7080514,1.6908283233642578,0:0.0417|1:0.0417|2:0.7081|3:0.0418|4:0.0417|5:0.0418|6:0.0417|7:0.0417
5,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which is equivalent to 48 3 in simplest form?,3,2,0.7811705,1.3723564147949219,0:0.0313|1:0.0313|2:0.7812|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.0313
6,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,What is the value of 128 in simplest radical form?,4,2,0.8247844,1.161390781402588,0:0.0250|1:0.0250|2:0.8248|3:0.0250|4:0.0250|5:0.0250|6:0.0251|7:0.0250
7,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which polynomial is equivalent to this expression if n ≠ - 1 ? 3 + n - 2 n 2 1 + n,3,2,0.78108954,1.3727322816848755,0:0.0313|1:0.0313|2:0.7811|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.0313
8,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which is a factor of 2 n 2 - 5 n - 42 ?,1,5,0.56235176,2.2173869609832764,0:0.0626|1:0.0625|2:0.0625|3:0.0625|4:0.0625|5:0.5624|6:0.0625|7:0.0625
9,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which of the following is equivalent to a 12 b 2 a 3 b 6 ?,2,2,0.708001,1.6910340785980225,0:0.0417|1:0.0417|2:0.7080|3:0.0417|4:0.0417|5:0.0418|6:0.0417|7:0.0417
10,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,What is the value of this expression when n = - 15 ? - 2 | n + 6 |,2,5,0.70794845,1.691249132156372,0:0.0417|1:0.0417|2:0.0417|3:0.0418|4:0.0417|5:0.7079|6:0.0417|7:0.0417
11,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which graph best represents the equation 4 x + 5 y = - 20 ?,4,1,0.8248446,1.1610867977142334,0:0.0250|1:0.8248|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.0250
12,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,A formula to find the angle measures of an isosceles triangle is shown. 180 = 2 x + y Which equation can be used to find x ?,10,1,0.92035514,0.6245179176330566,0:0.0114|1:0.9204|2:0.0114|3:0.0114|4:0.0114|5:0.0114|6:0.0114|7:0.0114
13,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"Which equation represents the line that passes through the points ( - 4 , 4 ) and ( 8 , - 2 ) ?",5,1,0.85400033,1.0096113681793213,0:0.0209|1:0.8540|2:0.0208|3:0.0208|4:0.0209|5:0.0209|6:0.0208|7:0.0209
14,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"For which system of inequalities is ( - 3 , 1 ) a solution?",3,3,0.7810649,1.3728463649749756,0:0.0313|1:0.0313|2:0.0313|3:0.7811|4:0.0313|5:0.0313|6:0.0313|7:0.0313
15,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,What is the solution to this system of equations? 2 x + 4 y = 22 7 x + y = 12,3,1,0.7811198,1.3725917339324951,0:0.0313|1:0.7811|2:0.0313|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.0313
16,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"What is 3,456 3 in simplest form?",2,2,0.7083073,1.689782738685608,0:0.0417|1:0.0417|2:0.7083|3:0.0417|4:0.0417|5:0.0417|6:0.0417|7:0.0417
17,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,What value of x makes this equation true? 3 x - 20 = - 2 x,4,6,0.8247867,1.1613786220550537,0:0.0250|1:0.0251|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.8248|7:0.0250
18,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which equation best represents line m ?,4,1,0.82472163,1.1617069244384766,0:0.0250|1:0.8247|2:0.0250|3:0.0250|4:0.0251|5:0.0251|6:0.0250|7:0.0250
19,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Christopher incorrectly solved an inequality. Between which two consecutive steps did Christopher make a mistake? Step 1: - 4 ( x - 7 ) + 1 ≤ - 3 Step 2: - 4 ( x - 7 ) ≤ - 4 Step 3: - 4 x + 28 ≤ - 4 Step 4: - 4 x ≤ - 32 Step 5: x ≤ 8,15,5,0.94528836,0.45967888832092285,0:0.0078|1:0.0078|2:0.0078|3:0.0078|4:0.0078|5:0.9453|6:0.0078|7:0.0078
20,math_algebra1_2015,math-algebra1-2015.js,free-response,Solve for n : 3 n - 7 6 = 2 n + 5 3,1,0,0.562402,2.2172279357910156,0:0.5624|1:0.0625|2:0.0625|3:0.0625|4:0.0625|5:0.0625|6:0.0625|7:0.0626
21,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,What values of x are solutions of 3 x 2 + 11 x = 20 ?,2,6,0.70806766,1.6907618045806885,0:0.0417|1:0.0417|2:0.0417|3:0.0417|4:0.0417|5:0.0417|6:0.7081|7:0.0417
22,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,The graph of line l is shown. Which number is closest in value to the slope of line l ?,8,5,0.90264755,0.7338495850563049,0:0.0139|1:0.0139|2:0.0139|3:0.0139|4:0.0139|5:0.9026|6:0.0139|7:0.0139
23,math_algebra1_2015,math-algebra1-2015.js,free-response,"Based on the transitive property, complete this statement. If 2 ( y - 3 ) ≥ 3 x - 4 and 3 x - 4 ≥ 6 - y , then 2 ( y - 3 ) ≥ __?__",5,4,0.8540581,1.0093016624450684,0:0.0208|1:0.0208|2:0.0208|3:0.0208|4:0.8541|5:0.0209|6:0.0209|7:0.0209
24,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,This system of linear equations is graphed as shown. What is the solution to this system of equations? 3 x + y = 2 x + 3 y = - 18,8,1,0.90271145,0.7334640622138977,0:0.0139|1:0.9027|2:0.0139|3:0.0139|4:0.0139|5:0.0139|6:0.0139|7:0.0139
25,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Renee is going bowling. • The cost per game is $2.50. • Renee will need to rent a pair of bowling shoes for $1.50. • She can spend up to $16.00 to bowl and rent a pair of shoes. What is the maximum number of games that Renee can bowl?,22,1,0.96192926,0.3402535021305084,0:0.0054|1:0.9619|2:0.0054|3:0.0054|4:0.0054|5:0.0054|6:0.0054|7:0.0054
26,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Malik can spend no more than $24 to buy pecans and cashews. He will pay $6 per pound for pecans and $8 per pound for cashews. Which graph best represents the number of pounds of pecans and the number of pounds of cashews Malik can buy?,23,7,0.9635107,0.32839593291282654,0:0.0052|1:0.0052|2:0.0052|3:0.0052|4:0.0052|5:0.0052|6:0.0052|7:0.9635
27,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,What is the quotient of ( 15 x 2 − 8 x − 12 ) and ( 3 x + 2 ) ? Assume the denominator does not equal zero.,5,2,0.8541464,1.0088285207748413,0:0.0208|1:0.0208|2:0.8541|3:0.0208|4:0.0208|5:0.0208|6:0.0208|7:0.0208
28,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which graph has exactly one x-intercept and one y-intercept?,6,0,0.87476313,0.8958133459091187,0:0.8748|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
29,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"Which equation best represents this data set? {(-4, -4.8), (-3, -8.2), (-2, -9.1), (-1, -8.1), (0, -4.7), (1, 0.3)}",5,1,0.48028877,1.7364048957824707,0:0.0209|1:0.4803|2:0.0209|3:0.0209|4:0.0209|5:0.0209|6:0.0209|7:0.3945
30,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,A relationship between x and y is shown in this table. Which equation represents this relationship?,6,1,0.87491363,0.8949682712554932,0:0.0179|1:0.8749|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
31,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"Ms. Scott will pay $2,000 to have her house painted. The amount each painter earns, A, varies inversely for the number of painters, n, that will paint the house. Which equation best represents this situation?",17,1,0.9513495,0.4172154366970062,0:0.0069|1:0.9513|2:0.0069|3:0.0070|4:0.0069|5:0.0070|6:0.0069|7:0.0070
32,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,The following graph shows a relation. Which of the following best describes the range of this relation?,9,6,0.91237247,0.6745021939277649,0:0.0125|1:0.0125|2:0.0125|3:0.0125|4:0.0125|5:0.0125|6:0.9124|7:0.0125
33,math_algebra1_2015,math-algebra1-2015.js,drag-drop,"Each of these data sets has a mean of 20. Set 1: {18, 19, 20, 21, 22} Set 2: {20, 20, 20, 20, 20} Set 3: {16, 18, 20, 21, 25} Order the sets from greatest standard deviation to least standard deviation.",14,0,0.94161564,0.4849032461643219,0:0.9416|1:0.0083|2:0.0083|3:0.0083|4:0.0083|5:0.0083|6:0.0083|7:0.0083
34,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,A study was conducted to determine the number of cars that passed through two intersections each day for 20 days. The results are summarized in these box-and-whisker plots. Which statement is best supported by these data?,18,7,0.9538692,0.3992327153682709,0:0.0066|1:0.0066|2:0.0066|3:0.0066|4:0.0066|5:0.0066|6:0.0066|7:0.9539
35,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which of these functions has exactly two different zeros?,5,3,0.8539545,1.0098564624786377,0:0.0209|1:0.0209|2:0.0209|3:0.8540|4:0.0209|5:0.0209|6:0.0209|7:0.0209
36,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,In which table does y vary directly with x ?,3,2,0.7810966,1.3726997375488281,0:0.0313|1:0.0313|2:0.7811|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.0313
37,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"Which equation could represent a graph with x-intercepts of (4, 0) and (-7, 0)?",5,5,0.85396177,1.0098174810409546,0:0.0209|1:0.0209|2:0.0209|3:0.0209|4:0.0209|5:0.8540|6:0.0209|7:0.0209
38,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which number is a zero of the function h ? h ( x ) = x 2 + 3 x - 18,3,7,0.4330755,1.9917540550231934,0:0.0313|1:0.0313|2:0.3792|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.4331
39,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,Which of the following graphs appears to be a function?,4,1,0.5681149,1.7774858474731445,0:0.2817|1:0.5681|2:0.0250|3:0.0251|4:0.0250|5:0.0250|6:0.0250|7:0.0250
40,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"If f(x) = (x - 3)² + 1, what is f(6)?",0,0,0.125,3.0,0:0.1250|1:0.1250|2:0.1250|3:0.1250|4:0.1250|5:0.1250|6:0.1250|7:0.1250
41,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"Which number is NOT an element in the domain of this relation? {(-2, 3), (0, 4), (1, 1), (6, 0)}",4,3,0.5938791,1.748483657836914,0:0.0250|1:0.0250|2:0.0250|3:0.5939|4:0.0250|5:0.0250|6:0.2560|7:0.0250
42,math_algebra1_2015,math-algebra1-2015.js,multiple-choice,"{(-5, 9), (2, 31), (9, 143), (11, 151), (0, 42), (5, 97)} Using the equation line of best fit, which number is the best prediction of the output when the input is 13?",10,4,0.9203837,0.6243369579315186,0:0.0114|1:0.0114|2:0.0114|3:0.0114|4:0.9204|5:0.0114|6:0.0114|7:0.0114
